source,table,year_column,year,total_records,status
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,1994,188269,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,1995,188269,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,1996,181951,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,1997,180831,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,1998,177550,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,1999,337,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2000,176469,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2001,160493,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2002,155186,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2003,149128,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2004,153021,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2005,147303,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2006,141331,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2007,133400,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2008,135143,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2009,133652,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2010,133243,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2011,137710,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2012,138941,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2013,141350,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2014,143315,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2015,148359,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2016,141411,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2017,141567,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2018,140047,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2019,134596,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2020,130742,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2021,124349,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2022,120913,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2023,120974,consulta executada
Base dos Dados,basedosdados.br_ms_sinasc.microdados,ano,2024,111988,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,1996,67596,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,1997,64312,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,1998,69505,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,1999,67269,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,2000,67953,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,2001,68296,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,2002,69357,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,2003,70534,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,2004,72242,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,2005,71229,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,2006,72357,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,2007,75305,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,2008,73996,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,2009,76788,consulta executada
Base dos Dados,basedosdados.br_ms_sim.microdados,ano,2010,77985,consulta executada
