source,year,file,column,dtype,rows,blank_or_null,blank_or_null_percent,distinct_values
CNES/ST,2015,STRS1512.dbc,CNES,object,22566,0,0.0,22566
CNES/ST,2015,STRS1512.dbc,CODUFMUN,object,22566,0,0.0,497
CNES/ST,2015,STRS1512.dbc,COD_CEP,object,22566,0,0.0,2940
CNES/ST,2015,STRS1512.dbc,CPF_CNPJ,object,22566,0,0.0,17751
CNES/ST,2015,STRS1512.dbc,PF_PJ,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,NIV_DEP,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,CNPJ_MAN,object,22566,0,0.0,628
CNES/ST,2015,STRS1512.dbc,COD_IR,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,REGSAUDE,object,22566,7082,31.38,176
CNES/ST,2015,STRS1512.dbc,MICR_REG,object,22566,22119,98.02,89
CNES/ST,2015,STRS1512.dbc,DISTRSAN,object,22566,21948,97.26,72
CNES/ST,2015,STRS1512.dbc,DISTRADM,object,22566,22505,99.73,15
CNES/ST,2015,STRS1512.dbc,VINC_SUS,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,TPGESTAO,object,22566,0,0.0,3
CNES/ST,2015,STRS1512.dbc,ESFERA_A,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,RETENCAO,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,ATIVIDAD,object,22566,0,0.0,5
CNES/ST,2015,STRS1512.dbc,NATUREZA,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,CLIENTEL,object,22566,547,2.42,3
CNES/ST,2015,STRS1512.dbc,TP_UNID,object,22566,0,0.0,34
CNES/ST,2015,STRS1512.dbc,TURNO_AT,object,22566,13,0.06,7
CNES/ST,2015,STRS1512.dbc,NIV_HIER,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,TP_PREST,object,22566,0,0.0,1
CNES/ST,2015,STRS1512.dbc,CO_BANCO,object,22566,19820,87.83,55
CNES/ST,2015,STRS1512.dbc,CO_AGENC,object,22566,19820,87.83,542
CNES/ST,2015,STRS1512.dbc,C_CORREN,object,22566,19820,87.83,2538
CNES/ST,2015,STRS1512.dbc,CONTRATM,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,DT_PUBLM,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,CONTRATE,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,DT_PUBLE,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,ALVARA,object,22566,5901,26.15,14314
CNES/ST,2015,STRS1512.dbc,DT_EXPED,object,22566,6008,26.62,4440
CNES/ST,2015,STRS1512.dbc,ORGEXPED,object,22566,5715,25.33,2
CNES/ST,2015,STRS1512.dbc,AV_ACRED,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,CLASAVAL,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,DT_ACRED,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,AV_PNASS,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,DT_PNASS,object,22566,22566,100.0,0
CNES/ST,2015,STRS1512.dbc,GESPRG1E,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,GESPRG1M,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,GESPRG2E,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,GESPRG2M,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,GESPRG4E,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,GESPRG4M,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,NIVATE_A,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,GESPRG3E,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,GESPRG3M,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,GESPRG5E,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,GESPRG5M,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,GESPRG6E,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,GESPRG6M,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,NIVATE_H,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,QTLEITP1,int64,22566,0,0.0,76
CNES/ST,2015,STRS1512.dbc,QTLEITP2,int64,22566,0,0.0,92
CNES/ST,2015,STRS1512.dbc,QTLEITP3,int64,22566,0,0.0,55
CNES/ST,2015,STRS1512.dbc,LEITHOSP,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,QTINST01,int64,22566,0,0.0,8
CNES/ST,2015,STRS1512.dbc,QTINST02,int64,22566,0,0.0,3
CNES/ST,2015,STRS1512.dbc,QTINST03,int64,22566,0,0.0,3
CNES/ST,2015,STRS1512.dbc,QTINST04,int64,22566,0,0.0,12
CNES/ST,2015,STRS1512.dbc,QTINST05,int64,22566,0,0.0,5
CNES/ST,2015,STRS1512.dbc,QTINST06,int64,22566,0,0.0,4
CNES/ST,2015,STRS1512.dbc,QTINST07,int64,22566,0,0.0,4
CNES/ST,2015,STRS1512.dbc,QTINST08,int64,22566,0,0.0,9
CNES/ST,2015,STRS1512.dbc,QTINST09,int64,22566,0,0.0,8
CNES/ST,2015,STRS1512.dbc,QTINST10,int64,22566,0,0.0,5
CNES/ST,2015,STRS1512.dbc,QTINST11,int64,22566,0,0.0,7
CNES/ST,2015,STRS1512.dbc,QTINST12,int64,22566,0,0.0,5
CNES/ST,2015,STRS1512.dbc,QTINST13,int64,22566,0,0.0,4
CNES/ST,2015,STRS1512.dbc,QTINST14,int64,22566,0,0.0,14
CNES/ST,2015,STRS1512.dbc,URGEMERG,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,QTINST15,int64,22566,0,0.0,26
CNES/ST,2015,STRS1512.dbc,QTINST16,int64,22566,0,0.0,34
CNES/ST,2015,STRS1512.dbc,QTINST17,int64,22566,0,0.0,25
CNES/ST,2015,STRS1512.dbc,QTINST18,int64,22566,0,0.0,23
CNES/ST,2015,STRS1512.dbc,QTINST19,int64,22566,0,0.0,7
CNES/ST,2015,STRS1512.dbc,QTINST20,int64,22566,0,0.0,7
CNES/ST,2015,STRS1512.dbc,QTINST21,int64,22566,0,0.0,5
CNES/ST,2015,STRS1512.dbc,QTINST22,int64,22566,0,0.0,13
CNES/ST,2015,STRS1512.dbc,QTINST23,int64,22566,0,0.0,17
CNES/ST,2015,STRS1512.dbc,QTINST24,int64,22566,0,0.0,7
CNES/ST,2015,STRS1512.dbc,QTINST25,int64,22566,0,0.0,10
CNES/ST,2015,STRS1512.dbc,QTINST26,int64,22566,0,0.0,6
CNES/ST,2015,STRS1512.dbc,QTINST27,int64,22566,0,0.0,7
CNES/ST,2015,STRS1512.dbc,QTINST28,int64,22566,0,0.0,8
CNES/ST,2015,STRS1512.dbc,QTINST29,int64,22566,0,0.0,6
CNES/ST,2015,STRS1512.dbc,QTINST30,int64,22566,0,0.0,9
CNES/ST,2015,STRS1512.dbc,ATENDAMB,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,QTINST31,int64,22566,0,0.0,17
CNES/ST,2015,STRS1512.dbc,QTINST32,int64,22566,0,0.0,8
CNES/ST,2015,STRS1512.dbc,QTINST33,int64,22566,0,0.0,8
CNES/ST,2015,STRS1512.dbc,CENTRCIR,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,QTINST34,int64,22566,0,0.0,8
CNES/ST,2015,STRS1512.dbc,QTINST35,int64,22566,0,0.0,4
CNES/ST,2015,STRS1512.dbc,QTINST36,int64,22566,0,0.0,3
CNES/ST,2015,STRS1512.dbc,QTINST37,int64,22566,0,0.0,5
CNES/ST,2015,STRS1512.dbc,CENTROBS,object,22566,0,0.0,2
CNES/ST,2015,STRS1512.dbc,QTLEIT05,int64,22566,0,0.0,16
CNES/ST,2015,STRS1512.dbc,QTLEIT06,int64,22566,0,0.0,10
CNES/ST,2015,STRS1512.dbc,QTLEIT07,int64,22566,0,0.0,11
CNES/ST,2015,STRS1512.dbc,QTLEIT08,int64,22566,0,0.0,27
CNES/ST,2015,STRS1512.dbc,QTLEIT09,int64,22566,0,0.0,7
CNES/ST,2015,STRS1512.dbc,QTLEIT19,int64,22566,0,0.0,11
