source,year,file,column,dtype,rows,blank_or_null,blank_or_null_percent,distinct_values
SINAN/SIFCBR,2015,SIFCBR15.dbc,TP_NOT,object,19800,0,0.0,1
SINAN/SIFCBR,2015,SIFCBR15.dbc,SEM_NOT,object,19800,0,0.0,93
SINAN/SIFCBR,2015,SIFCBR15.dbc,ID_AGRAVO,object,19800,0,0.0,1
SINAN/SIFCBR,2015,SIFCBR15.dbc,DT_NOTIFIC,object,19800,0,0.0,365
SINAN/SIFCBR,2015,SIFCBR15.dbc,NU_ANO,object,19800,0,0.0,1
SINAN/SIFCBR,2015,SIFCBR15.dbc,SG_UF_NOT,object,19800,0,0.0,27
SINAN/SIFCBR,2015,SIFCBR15.dbc,ID_MUNICIP,object,19800,0,0.0,926
SINAN/SIFCBR,2015,SIFCBR15.dbc,ID_REGIONA,object,19800,3585,18.11,280
SINAN/SIFCBR,2015,SIFCBR15.dbc,DT_DIAG,object,19800,0,0.0,555
SINAN/SIFCBR,2015,SIFCBR15.dbc,SEM_DIAG,object,19800,19800,100.0,0
SINAN/SIFCBR,2015,SIFCBR15.dbc,NU_IDADE_N,int64,19800,0,0.0,51
SINAN/SIFCBR,2015,SIFCBR15.dbc,CS_SEXO,object,19800,0,0.0,3
SINAN/SIFCBR,2015,SIFCBR15.dbc,CS_GESTANT,object,19800,821,4.15,7
SINAN/SIFCBR,2015,SIFCBR15.dbc,CS_RACA,object,19800,793,4.01,6
SINAN/SIFCBR,2015,SIFCBR15.dbc,CS_ESCOL_N,object,19800,4,0.02,3
SINAN/SIFCBR,2015,SIFCBR15.dbc,SG_UF,object,19800,0,0.0,27
SINAN/SIFCBR,2015,SIFCBR15.dbc,ID_MN_RESI,object,19800,0,0.0,2101
SINAN/SIFCBR,2015,SIFCBR15.dbc,ID_RG_RESI,object,19800,3560,17.98,301
SINAN/SIFCBR,2015,SIFCBR15.dbc,ID_PAIS,object,19800,0,0.0,1
SINAN/SIFCBR,2015,SIFCBR15.dbc,ANT_IDADE,float64,19800,555,2.8,39
SINAN/SIFCBR,2015,SIFCBR15.dbc,ANT_RACA,object,19800,0,0.0,6
SINAN/SIFCBR,2015,SIFCBR15.dbc,ID_OCUPA_N,object,19800,19800,100.0,0
SINAN/SIFCBR,2015,SIFCBR15.dbc,ESCOLMAE,object,19800,0,0.0,11
SINAN/SIFCBR,2015,SIFCBR15.dbc,ANT_PRE_NA,object,19800,0,0.0,3
SINAN/SIFCBR,2015,SIFCBR15.dbc,UF_PRE_NAT,object,19800,5011,25.31,27
SINAN/SIFCBR,2015,SIFCBR15.dbc,MUN_PRE_NA,object,19800,5283,26.68,1883
SINAN/SIFCBR,2015,SIFCBR15.dbc,ANTSIFIL_N,object,19800,0,0.0,5
SINAN/SIFCBR,2015,SIFCBR15.dbc,LAB_PARTO,object,19800,7,0.04,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,LAB_TITU_2,float64,19800,1450,7.32,93
SINAN/SIFCBR,2015,SIFCBR15.dbc,LAB_DT3,object,19800,886,4.47,580
SINAN/SIFCBR,2015,SIFCBR15.dbc,LAB_CONF,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,TRA_ESQUEM,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,TRA_DT,object,19800,7671,38.74,702
SINAN/SIFCBR,2015,SIFCBR15.dbc,ANT_TRATAD,object,19800,0,0.0,3
SINAN/SIFCBR,2015,SIFCBR15.dbc,ANT_UF_CRI,object,19800,453,2.29,27
SINAN/SIFCBR,2015,SIFCBR15.dbc,ANT_MUNI_C,object,19800,529,2.67,966
SINAN/SIFCBR,2015,SIFCBR15.dbc,LABC_SANGU,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,LABC_TIT_1,float64,19800,5282,26.68,77
SINAN/SIFCBR,2015,SIFCBR15.dbc,LABC_DT_1,object,19800,3410,17.22,613
SINAN/SIFCBR,2015,SIFCBR15.dbc,LABC_IGG,object,19800,0,0.0,5
SINAN/SIFCBR,2015,SIFCBR15.dbc,LABC_DT,object,19800,19240,97.17,354
SINAN/SIFCBR,2015,SIFCBR15.dbc,LABC_LIQUO,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,LABC_TIT_2,float64,19800,19275,97.35,25
SINAN/SIFCBR,2015,SIFCBR15.dbc,LABC_DT_2,object,19800,12414,62.7,495
SINAN/SIFCBR,2015,SIFCBR15.dbc,LABC_TITUL,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,LABC_EVIDE,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,LABC_LIQ_1,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,TRA_DIAG_T,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,TRA_ESQU_1,object,19800,0,0.0,6
SINAN/SIFCBR,2015,SIFCBR15.dbc,DS_ESQUEMA,object,19800,16932,85.52,1807
SINAN/SIFCBR,2015,SIFCBR15.dbc,EVOLUCAO,object,19800,0,0.0,6
SINAN/SIFCBR,2015,SIFCBR15.dbc,DT_OBITO,object,19800,19541,98.69,189
SINAN/SIFCBR,2015,SIFCBR15.dbc,EVO_DIAG_N,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,TRA_DIAG_C,object,19800,19800,100.0,0
SINAN/SIFCBR,2015,SIFCBR15.dbc,CLI_ICTERI,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,CLI_RINITE,object,19800,2,0.01,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,CLI_ANEMIA,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,CLI_ESPLEN,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,HEPATO,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,CLI_OSTEO,object,19800,1,0.01,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,LESOES,object,19800,0,0.0,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,CLI_OUTRO,object,19800,1,0.01,4
SINAN/SIFCBR,2015,SIFCBR15.dbc,SIN_OUTR_E,object,19800,19259,97.27,330
SINAN/SIFCBR,2015,SIFCBR15.dbc,CLI_PSEUDO,object,19800,0,0.0,4
SINASC,2015,DNRS2015.dbc,contador,object,148359,0,0.0,148359
SINASC,2015,DNRS2015.dbc,ORIGEM,object,148359,0,0.0,1
SINASC,2015,DNRS2015.dbc,CODESTAB,object,148359,424,0.29,359
SINASC,2015,DNRS2015.dbc,CODMUNNASC,object,148359,0,0.0,282
SINASC,2015,DNRS2015.dbc,LOCNASC,object,148359,0,0.0,4
SINASC,2015,DNRS2015.dbc,IDADEMAE,object,148359,0,0.0,42
SINASC,2015,DNRS2015.dbc,ESTCIVMAE,object,148359,230,0.16,6
SINASC,2015,DNRS2015.dbc,ESCMAE,object,148359,67,0.05,6
SINASC,2015,DNRS2015.dbc,CODOCUPMAE,object,148359,15106,10.18,1271
SINASC,2015,DNRS2015.dbc,QTDFILVIVO,object,148359,1280,0.86,14
SINASC,2015,DNRS2015.dbc,QTDFILMORT,object,148359,2162,1.46,12
SINASC,2015,DNRS2015.dbc,CODMUNRES,object,148359,0,0.0,497
SINASC,2015,DNRS2015.dbc,GESTACAO,object,148359,620,0.42,6
SINASC,2015,DNRS2015.dbc,GRAVIDEZ,object,148359,2,0.0,3
SINASC,2015,DNRS2015.dbc,PARTO,object,148359,1,0.0,2
SINASC,2015,DNRS2015.dbc,CONSULTAS,object,148359,0,0.0,5
SINASC,2015,DNRS2015.dbc,DTNASC,object,148359,0,0.0,365
SINASC,2015,DNRS2015.dbc,HORANASC,object,148359,191,0.13,1440
SINASC,2015,DNRS2015.dbc,SEXO,object,148359,0,0.0,3
SINASC,2015,DNRS2015.dbc,APGAR1,object,148359,1020,0.69,12
SINASC,2015,DNRS2015.dbc,APGAR5,object,148359,970,0.65,12
SINASC,2015,DNRS2015.dbc,RACACOR,object,148359,1008,0.68,5
SINASC,2015,DNRS2015.dbc,PESO,object,148359,10,0.01,2419
SINASC,2015,DNRS2015.dbc,IDANOMAL,object,148359,209,0.14,3
SINASC,2015,DNRS2015.dbc,DTCADASTRO,object,148359,0,0.0,534
SINASC,2015,DNRS2015.dbc,CODANOMAL,object,148359,147097,99.15,416
SINASC,2015,DNRS2015.dbc,NUMEROLOTE,object,148359,0,0.0,147
SINASC,2015,DNRS2015.dbc,VERSAOSIST,object,148359,0,0.0,3
SINASC,2015,DNRS2015.dbc,DTRECEBIM,object,148359,0,0.0,408
SINASC,2015,DNRS2015.dbc,DIFDATA,object,148359,0,0.0,816
SINASC,2015,DNRS2015.dbc,DTRECORIGA,object,148359,148359,100.0,0
SINASC,2015,DNRS2015.dbc,NATURALMAE,object,148359,2136,1.44,27
