base,arquivo,ano,uf,tipo,formato,status,caminho,observacoes
Outros,arquivo (1).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (1).zip,Arquivo original preservado.
SINASC,DNRS2023.dbc,2023,RS,nascidos_vivos,DBC,preservado,data/raw/archives/arquivo (1).zip::DNRS2023.dbc,
Outros,arquivo (10).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (10).zip,Arquivo original preservado.
SINAN,SIFCBR24.dbc,2024,BR,sifilis_congenita,DBC,preservado,data/raw/archives/arquivo (10).zip::SIFCBR24.dbc,
Outros,arquivo (11).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (11).zip,Arquivo original preservado.
SINAN,SIFCBR23.dbc,2023,BR,sifilis_congenita,DBC,preservado,data/raw/archives/arquivo (11).zip::SIFCBR23.dbc,
Outros,arquivo (12).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (12).zip,Arquivo original preservado.
SINAN,SIFCBR22.dbc,2022,BR,sifilis_congenita,DBC,preservado,data/raw/archives/arquivo (12).zip::SIFCBR22.dbc,
Outros,arquivo (13).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (13).zip,Arquivo original preservado.
SINAN,SIFCBR21.dbc,2021,BR,sifilis_congenita,DBC,preservado,data/raw/archives/arquivo (13).zip::SIFCBR21.dbc,
Outros,arquivo (14).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (14).zip,Arquivo original preservado.
SINAN,SIFCBR20.dbc,2020,BR,sifilis_congenita,DBC,preservado,data/raw/archives/arquivo (14).zip::SIFCBR20.dbc,
Outros,arquivo (15).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (15).zip,Arquivo original preservado.
SINAN,SIFCBR19.dbc,2019,BR,sifilis_congenita,DBC,preservado,data/raw/archives/arquivo (15).zip::SIFCBR19.dbc,
Outros,arquivo (16).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (16).zip,Arquivo original preservado.
SINAN,SIFCBR18.dbc,2018,BR,sifilis_congenita,DBC,preservado,data/raw/archives/arquivo (16).zip::SIFCBR18.dbc,
Outros,arquivo (17).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (17).zip,Arquivo original preservado.
SINAN,SIFCBR17.dbc,2017,BR,sifilis_congenita,DBC,preservado,data/raw/archives/arquivo (17).zip::SIFCBR17.dbc,
Outros,arquivo (18).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (18).zip,Arquivo original preservado.
SINAN,SIFCBR16.dbc,2016,BR,sifilis_congenita,DBC,preservado,data/raw/archives/arquivo (18).zip::SIFCBR16.dbc,
Outros,arquivo (19).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (19).zip,Arquivo original preservado.
SINAN,SIFCBR15.dbc,2015,BR,sifilis_congenita,DBC,preservado,data/raw/archives/arquivo (19).zip::SIFCBR15.dbc,
Outros,arquivo (2).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (2).zip,Arquivo original preservado.
SINASC,DNRS2022.dbc,2022,RS,nascidos_vivos,DBC,preservado,data/raw/archives/arquivo (2).zip::DNRS2022.dbc,
Outros,arquivo (20).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (20).zip,Arquivo original preservado.
SIM,DORS2024.dbc,2024,RS,obitos_gerais,DBC,preservado,data/raw/archives/arquivo (20).zip::DORS2024.dbc,
Outros,arquivo (21).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (21).zip,Arquivo original preservado.
SIM,DORS2023.dbc,2023,RS,obitos_gerais,DBC,preservado,data/raw/archives/arquivo (21).zip::DORS2023.dbc,
Outros,arquivo (22).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (22).zip,Arquivo original preservado.
SIM,DORS2022.dbc,2022,RS,obitos_gerais,DBC,preservado,data/raw/archives/arquivo (22).zip::DORS2022.dbc,
Outros,arquivo (23).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (23).zip,Arquivo original preservado.
SIM,DORS2021.dbc,2021,RS,obitos_gerais,DBC,preservado,data/raw/archives/arquivo (23).zip::DORS2021.dbc,
Outros,arquivo (24).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (24).zip,Arquivo original preservado.
SIM,DORS2020.dbc,2020,RS,obitos_gerais,DBC,preservado,data/raw/archives/arquivo (24).zip::DORS2020.dbc,
Outros,arquivo (25).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (25).zip,Arquivo original preservado.
SIM,DORS2019.dbc,2019,RS,obitos_gerais,DBC,preservado,data/raw/archives/arquivo (25).zip::DORS2019.dbc,
Outros,arquivo (26).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (26).zip,Arquivo original preservado.
SIM,DORS2018.dbc,2018,RS,obitos_gerais,DBC,preservado,data/raw/archives/arquivo (26).zip::DORS2018.dbc,
Outros,arquivo (27).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (27).zip,Arquivo original preservado.
SIM,DORS2017.dbc,2017,RS,obitos_gerais,DBC,preservado,data/raw/archives/arquivo (27).zip::DORS2017.dbc,
Outros,arquivo (28).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (28).zip,Arquivo original preservado.
SIM,DORS2016.dbc,2016,RS,obitos_gerais,DBC,preservado,data/raw/archives/arquivo (28).zip::DORS2016.dbc,
Outros,arquivo (29).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (29).zip,Arquivo original preservado.
SIM,DORS2015.dbc,2015,RS,obitos_gerais,DBC,preservado,data/raw/archives/arquivo (29).zip::DORS2015.dbc,
Outros,arquivo (3).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (3).zip,Arquivo original preservado.
SINASC,DNRS2021.dbc,2021,RS,nascidos_vivos,DBC,preservado,data/raw/archives/arquivo (3).zip::DNRS2021.dbc,
Outros,arquivo (30).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (30).zip,Arquivo original preservado.
SIM,DOFET15.dbc,2015,RS,obitos_fetais,DBC,preservado,data/raw/archives/arquivo (30).zip::DOFET15.dbc,
Outros,arquivo (31).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (31).zip,Arquivo original preservado.
SIM,DOFET16.dbc,2016,RS,obitos_fetais,DBC,preservado,data/raw/archives/arquivo (31).zip::DOFET16.dbc,
Outros,arquivo (32).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (32).zip,Arquivo original preservado.
SIM,DOFET17.dbc,2017,RS,obitos_fetais,DBC,preservado,data/raw/archives/arquivo (32).zip::DOFET17.dbc,
Outros,arquivo (33).zip,,,arquivo_compactado,ZIP,preservado,data/raw/archives/arquivo (33).zip,Arquivo original preservado.
SIM,DOFET18.dbc,2018,RS,obitos_fetais,DBC,preservado,data/raw/archives/arquivo (33).zip::DOFET18.dbc,
