source,year,expected_kind,priority,expected_file,status,path,target_path,official_url,source_hint
SINAN/SIFCBR,2014,sifilis_congenita,obrigatorio,SIFCBR14.dbc,ausente,data\raw\sinan\sifilis_congenita\SIFCBR14.dbc ou data\raw\SIFCBR14.dbc,data\raw\sinan\sifilis_congenita\SIFCBR14.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2014,nascidos_vivos,obrigatorio,DNRS2014.dbc,ausente,data\raw\sinasc\DNRS2014.dbc ou data\raw\sinasc\DNRS14.dbc,data\raw\sinasc\DNRS2014.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
SINAN/SIFCBR,2015,sifilis_congenita,obrigatorio,SIFCBR15.dbc,ausente,data\raw\sinan\sifilis_congenita\SIFCBR15.dbc ou data\raw\SIFCBR15.dbc,data\raw\sinan\sifilis_congenita\SIFCBR15.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2015,nascidos_vivos,obrigatorio,DNRS2015.dbc,ausente,data\raw\sinasc\DNRS2015.dbc ou data\raw\sinasc\DNRS15.dbc,data\raw\sinasc\DNRS2015.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
SINAN/SIFCBR,2016,sifilis_congenita,obrigatorio,SIFCBR16.dbc,ausente,data\raw\sinan\sifilis_congenita\SIFCBR16.dbc ou data\raw\SIFCBR16.dbc,data\raw\sinan\sifilis_congenita\SIFCBR16.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2016,nascidos_vivos,obrigatorio,DNRS2016.dbc,ausente,data\raw\sinasc\DNRS2016.dbc ou data\raw\sinasc\DNRS16.dbc,data\raw\sinasc\DNRS2016.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
SINAN/SIFCBR,2017,sifilis_congenita,obrigatorio,SIFCBR17.dbc,ausente,data\raw\sinan\sifilis_congenita\SIFCBR17.dbc ou data\raw\SIFCBR17.dbc,data\raw\sinan\sifilis_congenita\SIFCBR17.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2017,nascidos_vivos,obrigatorio,DNRS2017.dbc,ausente,data\raw\sinasc\DNRS2017.dbc ou data\raw\sinasc\DNRS17.dbc,data\raw\sinasc\DNRS2017.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
SINAN/SIFCBR,2018,sifilis_congenita,obrigatorio,SIFCBR18.dbc,ausente,data\raw\sinan\sifilis_congenita\SIFCBR18.dbc ou data\raw\SIFCBR18.dbc,data\raw\sinan\sifilis_congenita\SIFCBR18.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2018,nascidos_vivos,obrigatorio,DNRS2018.dbc,ausente,data\raw\sinasc\DNRS2018.dbc ou data\raw\sinasc\DNRS18.dbc,data\raw\sinasc\DNRS2018.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
