source,year,expected_kind,priority,expected_file,status,path,target_path,official_url,source_hint
SINAN/SIFCBR,2014,sifilis_congenita,obrigatorio,SIFCBR14.dbc,ausente,data/raw/sinan/sifilis_congenita/SIFCBR14.dbc ou data/raw/SIFCBR14.dbc,data/raw/sinan/sifilis_congenita/SIFCBR14.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2014,nascidos_vivos,obrigatorio,DNRS2014.dbc,ausente,data/raw/sinasc/DNRS2014.dbc ou data/raw/sinasc/DNRS14.dbc,data/raw/sinasc/DNRS2014.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
CNES/ST,2014,estabelecimentos_dezembro,complementar,STRS1412.dbc,ausente,data/raw/cnes/st/STRS1412.dbc ou data/raw/cnes/STRS1412.dbc,data/raw/cnes/st/STRS1412.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > CNES > ST > UF RS > snapshot de dezembro
SIM/DO,2014,obitos_gerais,complementar,DORS2014.dbc,ausente,data/raw/sim/do/DORS2014.dbc ou data/raw/sim/do/DORS14.dbc ou data/raw/sim/DORS2014.dbc ou data/raw/sim/DORS14.dbc,data/raw/sim/do/DORS2014.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SIM > declaracao de obito > UF RS > arquivo DORS
SINAN/SIFCBR,2015,sifilis_congenita,obrigatorio,SIFCBR15.dbc,ausente,data/raw/sinan/sifilis_congenita/SIFCBR15.dbc ou data/raw/SIFCBR15.dbc,data/raw/sinan/sifilis_congenita/SIFCBR15.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2015,nascidos_vivos,obrigatorio,DNRS2015.dbc,ausente,data/raw/sinasc/DNRS2015.dbc ou data/raw/sinasc/DNRS15.dbc,data/raw/sinasc/DNRS2015.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
CNES/ST,2015,estabelecimentos_dezembro,complementar,STRS1512.dbc,ausente,data/raw/cnes/st/STRS1512.dbc ou data/raw/cnes/STRS1512.dbc,data/raw/cnes/st/STRS1512.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > CNES > ST > UF RS > snapshot de dezembro
SIM/DO,2015,obitos_gerais,complementar,DORS2015.dbc,ausente,data/raw/sim/do/DORS2015.dbc ou data/raw/sim/do/DORS15.dbc ou data/raw/sim/DORS2015.dbc ou data/raw/sim/DORS15.dbc,data/raw/sim/do/DORS2015.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SIM > declaracao de obito > UF RS > arquivo DORS
SINAN/SIFCBR,2016,sifilis_congenita,obrigatorio,SIFCBR16.dbc,ausente,data/raw/sinan/sifilis_congenita/SIFCBR16.dbc ou data/raw/SIFCBR16.dbc,data/raw/sinan/sifilis_congenita/SIFCBR16.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINAN > sifilis congenita > arquivo SIFCBR
SINASC,2016,nascidos_vivos,obrigatorio,DNRS2016.dbc,ausente,data/raw/sinasc/DNRS2016.dbc ou data/raw/sinasc/DNRS16.dbc,data/raw/sinasc/DNRS2016.dbc,https://datasus.saude.gov.br/transferencia-de-arquivos/,DATASUS > SINASC > declaracao de nascidos vivos > UF RS > arquivo DNRS
