source,year,file,column,dtype,rows,blank_or_null,blank_or_null_percent,distinct_values
SIM/DO,2015,DORS2015.dbc,CONTADOR,object,82349,0,0.0,82349
SIM/DO,2015,DORS2015.dbc,ORIGEM,object,82349,0,0.0,2
SIM/DO,2015,DORS2015.dbc,TIPOBITO,object,82349,0,0.0,1
SIM/DO,2015,DORS2015.dbc,DTOBITO,object,82349,0,0.0,365
SIM/DO,2015,DORS2015.dbc,HORAOBITO,object,82349,2179,2.65,1439
SIM/DO,2015,DORS2015.dbc,NATURAL,object,82349,5052,6.13,71
SIM/DO,2015,DORS2015.dbc,CODMUNNATU,object,82349,6491,7.88,1017
SIM/DO,2015,DORS2015.dbc,DTNASC,object,82349,105,0.13,25530
SIM/DO,2015,DORS2015.dbc,IDADE,object,82349,0,0.0,210
SIM/DO,2015,DORS2015.dbc,SEXO,object,82349,0,0.0,3
SIM/DO,2015,DORS2015.dbc,RACACOR,object,82349,2857,3.47,5
SIM/DO,2015,DORS2015.dbc,ESTCIV,object,82349,5995,7.28,6
SIM/DO,2015,DORS2015.dbc,ESC,object,82349,9886,12.01,6
SIM/DO,2015,DORS2015.dbc,ESC2010,object,82349,10220,12.41,7
SIM/DO,2015,DORS2015.dbc,SERIESCFAL,object,82349,67768,82.29,8
SIM/DO,2015,DORS2015.dbc,OCUP,object,82349,15877,19.28,903
SIM/DO,2015,DORS2015.dbc,CODMUNRES,object,82349,0,0.0,497
SIM/DO,2015,DORS2015.dbc,LOCOCOR,object,82349,0,0.0,6
SIM/DO,2015,DORS2015.dbc,CODESTAB,object,82349,19823,24.07,657
SIM/DO,2015,DORS2015.dbc,ESTABDESCR,object,82349,82348,100.0,1
SIM/DO,2015,DORS2015.dbc,CODMUNOCOR,object,82349,0,0.0,611
SIM/DO,2015,DORS2015.dbc,IDADEMAE,object,82349,80870,98.2,36
SIM/DO,2015,DORS2015.dbc,ESCMAE,object,82349,80898,98.24,6
SIM/DO,2015,DORS2015.dbc,ESCMAE2010,object,82349,80900,98.24,7
SIM/DO,2015,DORS2015.dbc,SERIESCMAE,object,82349,81661,99.16,8
SIM/DO,2015,DORS2015.dbc,OCUPMAE,object,82349,81075,98.45,169
SIM/DO,2015,DORS2015.dbc,QTDFILVIVO,object,82349,80907,98.25,14
SIM/DO,2015,DORS2015.dbc,QTDFILMORT,object,82349,80929,98.28,7
SIM/DO,2015,DORS2015.dbc,GRAVIDEZ,object,82349,80854,98.18,4
SIM/DO,2015,DORS2015.dbc,SEMAGESTAC,object,82349,80881,98.22,33
SIM/DO,2015,DORS2015.dbc,GESTACAO,object,82349,80879,98.21,7
SIM/DO,2015,DORS2015.dbc,PARTO,object,82349,80859,98.19,3
